entity1_canonical_text,entity1_type,pred_label,entity2_canonical_text,entity2_type,relation_group,relation_count,max_pred_score,mean_pred_score,pmids,unique_pmid_count,same_sentence_count,has_validated_pesticide,has_unvalidated_chemical,example_title
IgAN,DiseaseOrPhenotypicFeature,Association,ADAM10,GeneOrGeneProduct,General association,1,10.190209,10.19,32715474,1,1,False,False,ADAM10 mediates ectopic proximal tubule development and renal fibrosis through Notch signalling.
kidney diseases,DiseaseOrPhenotypicFeature,Association,Notch,GeneOrGeneProduct,General association,1,10.180764,10.181,32715474,1,1,False,False,ADAM10 mediates ectopic proximal tubule development and renal fibrosis through Notch signalling.
aluminum,ChemicalEntity,Association,calcium,ChemicalEntity,General association,1,10.176168,10.176,1359483,1,1,False,False,"Aluminum inhibits glutamate release from transverse rat hippocampal slices: role of G proteins, Ca channels and protein kinase C."
"(3E)-3-(dimethylcarbamoylimino)-1,1-dimethylurea",ChemicalEntity,Association,KlYAP1,GeneOrGeneProduct,General association,1,10.175293,10.175,21869455,1,1,False,False,Interplay among regulators of multidrug resistance in Kluyveromyces lactis.
neurotoxicity,DiseaseOrPhenotypicFeature,Association,ectonucleotidases,GeneOrGeneProduct,General association,1,10.173261,10.173,15951093,1,1,False,False,Carbofuran and malathion inhibit nucleotide hydrolysis in zebrafish (Danio rerio) brain membranes.
atrazine,ChemicalEntity,Association,cancer,DiseaseOrPhenotypicFeature,General association,1,10.16694,10.167,27046698,1,1,True,False,"Embryonic atrazine exposure alters zebrafish and human miRNAs associated with angiogenesis, cancer, and neurodevelopment."
renal fibrosis,DiseaseOrPhenotypicFeature,Association,ADAM10,GeneOrGeneProduct,General association,3,10.165383,9.998,32715474,1,3,False,False,ADAM10 mediates ectopic proximal tubule development and renal fibrosis through Notch signalling.
chlorantraniliprole,ChemicalEntity,Association,PrSOD1,GeneOrGeneProduct,General association,1,10.164623,10.165,33838718,1,1,True,False,Characterisation of a copper/zinc superoxide dismutase from Pieris rapae and its role in protecting against oxidative stress induced by chlorantraniliprole.
SDS,ChemicalEntity,Association,SsSm1,GeneOrGeneProduct,General association,1,10.158146,10.158,29576085,1,1,False,True,"SsSm1, a Cerato-platanin family protein, is involved in the hyphal development and pathogenic process of Sclerotinia sclerotiorum."
2-acetyloxyethyl(trimethyl)azanium,ChemicalEntity,Association,Αβ,GeneOrGeneProduct,General association,1,10.156825,10.157,34733055,1,1,False,False,DMSO Delays Alzheimer Disease Causing Aβ-induced Paralysis in C. elegans Through Modulation of Glutamate/Acetylcholine Neurotransmission.
PBacid,ChemicalEntity,Association,UGT1A9,GeneOrGeneProduct,General association,2,10.15209,10.034,21456540,1,2,False,True,"In vitro metabolism of trans-permethrin and its major metabolites, PBalc and PBacid, in humans."
transpermethrin,ChemicalEntity,Association,UGT1A9,GeneOrGeneProduct,General association,1,10.15209,10.152,21456540,1,1,True,False,"In vitro metabolism of trans-permethrin and its major metabolites, PBalc and PBacid, in humans."
bifenthrin,ChemicalEntity,Association,"3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylic acid",ChemicalEntity,General association,2,10.151629,8.464,24851577,1,2,True,False,Assessment of occupational exposure to malathion and bifenthrin in mosquito control sprayers through dermal contact.
neurological symptoms,DiseaseOrPhenotypicFeature,Association,butyrylcholinesterase,GeneOrGeneProduct,General association,1,10.148726,10.149,24595133,1,1,False,False,Longitudinal assessment of chlorpyrifos exposure and self-reported neurological symptoms in adolescent pesticide applicators.
imidacloprid,ChemicalEntity,Association,mitochondrial dysfunction,DiseaseOrPhenotypicFeature,General association,2,10.141237,9.483,39128528 | 39356435,2,2,True,False,Imidacloprid affects human cells through mitochondrial dysfunction and oxidative stress.
imidacloprid,ChemicalEntity,Association,neurotoxicity,DiseaseOrPhenotypicFeature,General association,1,10.141237,10.141,39128528,1,1,True,False,Imidacloprid affects human cells through mitochondrial dysfunction and oxidative stress.
endocrine disruptors,ChemicalEntity,Association,MyD88,GeneOrGeneProduct,General association,1,10.129537,10.13,18177342,1,1,False,True,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.
"trans-[(S)-cyano-(3-phenoxyphenyl)methyl] (1R,3R)-3-(2,2-dibromoethenyl)-2,2-dimethylcyclopropane-1-carboxylate",ChemicalEntity,Association,cytochrome P450,GeneOrGeneProduct,General association,1,10.128461,10.128,12495187,1,1,False,False,Cross-resistance to pyrethroid and organophosphorus insecticides induced by selection with temephos in Aedes aegypti (Diptera: Culicidae) from Cuba.
abamectin,ChemicalEntity,Association,carboxylesterase,GeneOrGeneProduct,General association,1,10.128165,10.128,24766444,1,1,True,False,"Correlation between pesticide resistance and enzyme activity in the diamondback moth, Plutella xylostella."
beta-cypermethrin,ChemicalEntity,Association,glutathione S-transferase,GeneOrGeneProduct,General association,1,10.128165,10.128,24766444,1,1,True,False,"Correlation between pesticide resistance and enzyme activity in the diamondback moth, Plutella xylostella."
hyperthyroidism,DiseaseOrPhenotypicFeature,Association,PKCα,GeneOrGeneProduct,General association,2,10.123998,10.124,33250241,1,1,False,False,PKCα mediated by the PI3K/Akt-FOXA1 cascade facilitates cypermethrin-induced hyperthyroidism.
neurological symptoms,DiseaseOrPhenotypicFeature,Association,CPF,GeneOrGeneProduct,General association,1,10.121577,10.122,24595133,1,1,False,False,Longitudinal assessment of chlorpyrifos exposure and self-reported neurological symptoms in adolescent pesticide applicators.
depressive,DiseaseOrPhenotypicFeature,Association,nAChRs,GeneOrGeneProduct,General association,1,10.120722,10.121,38239268,1,1,False,False,Bupropion and varenicline administration reversed depressive behavior induced by acetamiprid exposure in mice: the role of nAChRs in depression.
carbendazim,ChemicalEntity,Association,"1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",ChemicalEntity,General association,1,10.120121,10.12,14992470,1,1,True,False,Ring-testing and field-validation of a terrestrial model ecosystem (TME)--an instrument for testing potentially harmful substances: effects of carbendazim on soil microbial parameters.
"trans-[(S)-cyano-(3-phenoxyphenyl)methyl] (1R,3R)-3-(2,2-dibromoethenyl)-2,2-dimethylcyclopropane-1-carboxylate",ChemicalEntity,Association,sodium,ChemicalEntity,General association,1,10.119332,10.119,18538810,1,1,False,False,Developmentally-regulated sodium channel subunits are differentially sensitive to alpha-cyano containing pyrethroids.
"2,6-dimethylphenyl-1'-methyl-2'-methoxyethylimine",ChemicalEntity,Association,Ir(I),ChemicalEntity,General association,1,10.116242,10.116,14695572,1,1,False,True,Chiral iridium [corrected] xyliphos complexes for the catalytic imine hydrogenation leading to the metolachlor herbicide: isolation of catalyst-substrate adducts.
depression,DiseaseOrPhenotypicFeature,Association,nAChR,GeneOrGeneProduct,General association,1,10.115295,10.115,38239268,1,1,False,False,Bupropion and varenicline administration reversed depressive behavior induced by acetamiprid exposure in mice: the role of nAChRs in depression.
cypermethrin,ChemicalEntity,Association,degeneration of DA neurons,DiseaseOrPhenotypicFeature,General association,1,10.1111145,10.111,20021062,1,1,True,False,Effects of cypermethrin on the dopaminergic neurons in the progressive hemiparkinsonian rats.
lead,ChemicalEntity,Association,cytochrome P-450,GeneOrGeneProduct,General association,2,10.105999,9.958,3083808,1,2,False,False,The biochemical genetics of permethrin resistance in the Learn-PyR strain of house fly.
hyperthyroidism,DiseaseOrPhenotypicFeature,Association,Akt,GeneOrGeneProduct,General association,1,10.101285,10.101,33250241,1,1,False,False,PKCα mediated by the PI3K/Akt-FOXA1 cascade facilitates cypermethrin-induced hyperthyroidism.
chlorpyrifos,ChemicalEntity,Association,CtCYP6EX3,GeneOrGeneProduct,General association,4,10.097356,9.203,28768160,1,4,True,False,Cytochrome P450 genes from the aquatic midge Chironomus tentans: Atrazine-induced up-regulation of CtCYP6EX3 enhanced the toxicity of chlorpyrifos.
2-methylprop-2-enoic acid,ChemicalEntity,Association,polymer,ChemicalEntity,General association,1,10.094087,10.094,18192751,1,1,False,True,Synthesis and characterization of a propazine imprinted polymer for the extraction of triazines herbicides.
2-methylprop-2-enoic acid,ChemicalEntity,Association,propazine,ChemicalEntity,General association,1,10.094087,10.094,18192751,1,1,True,False,Synthesis and characterization of a propazine imprinted polymer for the extraction of triazines herbicides.
EDCs,ChemicalEntity,Association,methoxychlor,ChemicalEntity,General association,1,10.094087,10.094,18177342,1,1,True,True,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.
Endocrine disrupting chemicals,ChemicalEntity,Association,"bis(2-ethylhexyl) benzene-1,2-dicarboxylate",ChemicalEntity,General association,1,10.094087,10.094,18177342,1,1,False,True,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.
NIP,ChemicalEntity,Association,NIP,ChemicalEntity,General association,1,10.094087,10.094,18192751,1,1,False,True,Synthesis and characterization of a propazine imprinted polymer for the extraction of triazines herbicides.
PCBs,ChemicalEntity,Association,lipidosis,DiseaseOrPhenotypicFeature,General association,1,10.094087,10.094,18185947,1,1,False,True,Contaminant concentrations and histopathological effects in Sacramento splittail (Pogonichthys macrolepidotus).
arsenic,ChemicalEntity,Association,lead,ChemicalEntity,General association,1,10.094087,10.094,18185947,1,1,False,False,Contaminant concentrations and histopathological effects in Sacramento splittail (Pogonichthys macrolepidotus).
arsenic,ChemicalEntity,Association,lipidosis,DiseaseOrPhenotypicFeature,General association,1,10.094087,10.094,18185947,1,1,False,False,Contaminant concentrations and histopathological effects in Sacramento splittail (Pogonichthys macrolepidotus).
atrazine,ChemicalEntity,Association,"1,2,3,4,5-pentachloro-6-(1,2,2-trichloroethenyl)benzene",ChemicalEntity,General association,1,10.094087,10.094,18177342,1,1,True,False,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.
benomyl,ChemicalEntity,Association,"dihexyl benzene-1,2-dicarboxylate",ChemicalEntity,General association,1,10.094087,10.094,18177342,1,1,True,False,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.
cadmium,ChemicalEntity,Association,zinc,ChemicalEntity,General association,1,10.094087,10.094,18185947,1,1,False,False,Contaminant concentrations and histopathological effects in Sacramento splittail (Pogonichthys macrolepidotus).
carbaril,ChemicalEntity,Association,permethrin,ChemicalEntity,General association,1,10.094087,10.094,18177342,1,1,True,False,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.
cobalt,ChemicalEntity,Association,copper,ChemicalEntity,General association,1,10.094087,10.094,18185947,1,1,False,False,Contaminant concentrations and histopathological effects in Sacramento splittail (Pogonichthys macrolepidotus).
cobalt,ChemicalEntity,Association,lipidosis,DiseaseOrPhenotypicFeature,General association,1,10.094087,10.094,18185947,1,1,False,False,Contaminant concentrations and histopathological effects in Sacramento splittail (Pogonichthys macrolepidotus).
copper,ChemicalEntity,Association,tin,ChemicalEntity,General association,1,10.094087,10.094,18185947,1,1,False,False,Contaminant concentrations and histopathological effects in Sacramento splittail (Pogonichthys macrolepidotus).
"dipropyl benzene-1,2-dicarboxylate",ChemicalEntity,Association,infectious diseases,DiseaseOrPhenotypicFeature,General association,1,10.094087,10.094,18177342,1,1,False,False,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.
endocrine disruptors,ChemicalEntity,Association,TLR4,GeneOrGeneProduct,General association,1,10.094087,10.094,18177342,1,1,False,True,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.
lead,ChemicalEntity,Association,Pogonichthys macrolepidotus,OrganismTaxon,General association,1,10.094087,10.094,18185947,1,1,False,False,Contaminant concentrations and histopathological effects in Sacramento splittail (Pogonichthys macrolepidotus).
lipopolysaccharide,ChemicalEntity,Association,vinclozolin,ChemicalEntity,General association,1,10.094087,10.094,18177342,1,1,True,True,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.
metal,ChemicalEntity,Association,Pogonichthys macrolepidotus,OrganismTaxon,General association,1,10.094087,10.094,18185947,1,1,False,True,Contaminant concentrations and histopathological effects in Sacramento splittail (Pogonichthys macrolepidotus).
permethrin,ChemicalEntity,Association,infectious diseases,DiseaseOrPhenotypicFeature,General association,1,10.094087,10.094,18177342,1,1,True,False,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.
propazine,ChemicalEntity,Association,NIP,ChemicalEntity,General association,1,10.094087,10.094,18192751,1,1,True,True,Synthesis and characterization of a propazine imprinted polymer for the extraction of triazines herbicides.
simazine,ChemicalEntity,Association,vinclozolin,ChemicalEntity,General association,1,10.094087,10.094,18177342,1,1,True,False,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.
simazine,ChemicalEntity,Association,ziram,ChemicalEntity,General association,1,10.094087,10.094,18177342,1,1,True,False,Effects of possible endocrine disruptors on MyD88-independent TLR4 signaling.
triazines,ChemicalEntity,Association,polymer,ChemicalEntity,General association,1,10.094087,10.094,18192751,1,1,False,True,Synthesis and characterization of a propazine imprinted polymer for the extraction of triazines herbicides.
chlorpyrifos,ChemicalEntity,Association,miR-19a,GeneOrGeneProduct,General association,1,10.090741,10.091,31310849,1,1,True,False,Chlorpyrifos induced oxidative stress to promote apoptosis and autophagy through the regulation of miR-19a-AMPK axis in common carp.
"N-(3,4-dichlorophenyl)propanamide",ChemicalEntity,Association,D1,GeneOrGeneProduct,General association,1,10.090447,10.09,26929096,1,1,False,False,A psbA mutation (Val219 to Ile) causes resistance to propanil and increased susceptibility to bentazon in Cyperus difformis.
calcium(2+),ChemicalEntity,Association,cytotoxicity,DiseaseOrPhenotypicFeature,General association,4,10.088322,9.138,31153463,1,4,False,False,Uncovering malathion (an organophosphate insecticide) action on Ca2+ signal transduction and investigating the effects of BAPTA-AM (a cell-permeant Ca2+ chelator) on protective responses in glial cells.
"5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",ChemicalEntity,Association,PPAR-γ,GeneOrGeneProduct,General association,1,10.085339,10.085,39197517,1,1,False,False,Neuroprotective effect of diosmin against chlorpyrifos-induced brain intoxication was mediated by regulating PPAR-γ and NF-κB/AP-1 signals.
calcium,ChemicalEntity,Association,neurotoxicity,DiseaseOrPhenotypicFeature,General association,2,10.076111,9.017,25825129,1,2,False,False,Toxicity evaluation of new agricultural fungicides in primary cultured cortical neurons.
toxicity,DiseaseOrPhenotypicFeature,Association,acetylcholinesterase,GeneOrGeneProduct,General association,1,10.068314,10.068,8434460,1,1,False,False,"Effect of malathion, estradiol-17-beta and progesterone on ascorbic acid metabolism in prenatal rats and their pups."
beta-cypermethrin,ChemicalEntity,Association,pobA,GeneOrGeneProduct,General association,2,10.065147,8.444,26298261,1,2,True,False,Quantitative response relationships between degradation rates and functional genes during the degradation of beta-cypermethrin in soil.
dichloromercury,ChemicalEntity,Association,AccSTIP1,GeneOrGeneProduct,General association,1,10.062536,10.063,30128723,1,1,False,False,Characteristics of AccSTIP1 in Apis cerana cerana and its role during oxidative stress responses.
[Ag(14)(2)]BF(4),ChemicalEntity,Association,imine 14,ChemicalEntity,General association,1,10.06209,10.062,14695572,1,1,False,True,Chiral iridium [corrected] xyliphos complexes for the catalytic imine hydrogenation leading to the metolachlor herbicide: isolation of catalyst-substrate adducts.
[Ir(C(2)H(4))(2)(14)]BF(4),ChemicalEntity,Association,imine 14,ChemicalEntity,General association,1,10.053942,10.054,14695572,1,1,False,True,Chiral iridium [corrected] xyliphos complexes for the catalytic imine hydrogenation leading to the metolachlor herbicide: isolation of catalyst-substrate adducts.
herbicides,ChemicalEntity,Association,breast cancer,DiseaseOrPhenotypicFeature,General association,1,10.053614,10.054,31295307,1,1,False,True,Glyphosate-based herbicides at low doses affect canonical pathways in estrogen positive and negative breast cancer cell lines.
Japanese encephalitis,DiseaseOrPhenotypicFeature,Association,Culex quinquefasciatus,OrganismTaxon,General association,1,10.050151,10.05,1664850,1,1,False,False,"Field efficacy of ""Mosbar"" mosquito repellent soap against vectors of bancroftian filariasis and Japanese encephalitis in southern India."
clothianidin,ChemicalEntity,Association,CYP4c1,GeneOrGeneProduct,General association,2,10.050062,9.332,35735842,1,2,True,False,Characterization of Insecticide Response-Associated Transcripts in the Colorado Potato Beetle: Relevance of Selected Cytochrome P450s and Clothianidin.
neonicotinoid,ChemicalEntity,Association,neonicotinoid,ChemicalEntity,General association,20,10.049868,8.058,27268938 | 29357997 | 29534801 | 31891846 | 36812404 | 39415959,6,15,True,False,Honey Bees' Behavior Is Impaired by Chronic Exposure to the Neonicotinoid Thiacloprid in the Field.
fipronil,ChemicalEntity,Association,miR-194a,GeneOrGeneProduct,General association,6,10.049868,9.644,27267425,1,6,True,False,miRNA-216 and miRNA-499 target cyb561d2 in zebrafish in response to fipronil exposure.
"2-amino-3-(5-methyl-3-oxo-1,2-oxazol-4-yl)propanoic acid",ChemicalEntity,Association,human,OrganismTaxon,General association,2,10.049868,9.365,27280764 | 35564359,2,2,False,False,"The Impact of Glyphosate, Its Metabolites and Impurities on Viability, ATP Level and Morphological changes in Human Peripheral Blood Mononuclear Cells."
"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",ChemicalEntity,Association,(phosphonomethylamino)methylphosphonic acid,ChemicalEntity,General association,2,10.049868,9.402,27280764,1,1,False,False,"The Impact of Glyphosate, Its Metabolites and Impurities on Viability, ATP Level and Morphological changes in Human Peripheral Blood Mononuclear Cells."
dithianon,ChemicalEntity,Association,rbABCG2,GeneOrGeneProduct,General association,2,10.049868,9.402,27288731,1,2,True,False,Assessment of ABCG2-mediated transport of pesticides across the rabbit placenta barrier using a novel MDCKII in vitro model.
ioxynil,ChemicalEntity,Association,rbABCG2,GeneOrGeneProduct,General association,2,10.049868,10.05,27288731,1,2,True,False,Assessment of ABCG2-mediated transport of pesticides across the rabbit placenta barrier using a novel MDCKII in vitro model.
methylphosphonic acid,ChemicalEntity,Association,(phosphonomethylamino)methylphosphonic acid,ChemicalEntity,General association,2,10.049868,10.05,27280764,1,2,False,False,"The Impact of Glyphosate, Its Metabolites and Impurities on Viability, ATP Level and Morphological changes in Human Peripheral Blood Mononuclear Cells."
aminomethylphosphonic acid,ChemicalEntity,Association,(phosphonomethylamino)methylphosphonic acid,ChemicalEntity,General association,1,10.049868,10.05,27280764,1,1,False,False,"The Impact of Glyphosate, Its Metabolites and Impurities on Viability, ATP Level and Morphological changes in Human Peripheral Blood Mononuclear Cells."
chlorpyrifos,ChemicalEntity,Association,"1-(4,6-dimethoxypyrimidin-2-yl)-3-[(3-ethylsulfonyl-2-pyridinyl)sulfonyl]urea",ChemicalEntity,General association,1,10.049868,10.05,27288731,1,1,True,False,Assessment of ABCG2-mediated transport of pesticides across the rabbit placenta barrier using a novel MDCKII in vitro model.
chlorpyrifos,ChemicalEntity,Association,oxygen,ChemicalEntity,General association,1,10.049868,10.05,27272922,1,1,True,True,Perspectives of using fungi as bioresource for bioremediation of pesticides in the environment: a critical review.
dimethomorph,ChemicalEntity,Association,rabbit,OrganismTaxon,General association,1,10.049868,10.05,27288731,1,1,True,False,Assessment of ABCG2-mediated transport of pesticides across the rabbit placenta barrier using a novel MDCKII in vitro model.
heptachlor,ChemicalEntity,Association,peroxidase,GeneOrGeneProduct,General association,1,10.049868,10.05,27272922,1,1,True,False,Perspectives of using fungi as bioresource for bioremediation of pesticides in the environment: a critical review.
herbicides,ChemicalEntity,Association,"2-amino-3-(5-methyl-3-oxo-1,2-oxazol-4-yl)propanoic acid",ChemicalEntity,General association,1,10.049868,10.05,27280764,1,1,False,True,"The Impact of Glyphosate, Its Metabolites and Impurities on Viability, ATP Level and Morphological changes in Human Peripheral Blood Mononuclear Cells."
imidacloprid,ChemicalEntity,Association,cyano-substituted neonicotinoid,ChemicalEntity,General association,1,10.049868,10.05,27268938,1,1,True,True,Honey Bees' Behavior Is Impaired by Chronic Exposure to the Neonicotinoid Thiacloprid in the Field.
ioxynil,ChemicalEntity,Association,"4-amino-5-fluoro-1-[(2R,5S)-2-(hydroxymethyl)-1,3-oxathiolan-5-yl]pyrimidin-2-one",ChemicalEntity,General association,1,10.049868,10.05,27288731,1,1,True,False,Assessment of ABCG2-mediated transport of pesticides across the rabbit placenta barrier using a novel MDCKII in vitro model.
methamidophos,ChemicalEntity,Association,manganese peroxidase,GeneOrGeneProduct,General association,1,10.049868,10.05,27272922,1,1,True,False,Perspectives of using fungi as bioresource for bioremediation of pesticides in the environment: a critical review.
methylphosphonic acid,ChemicalEntity,Association,human,OrganismTaxon,General association,1,10.049868,10.05,27280764,1,1,False,False,"The Impact of Glyphosate, Its Metabolites and Impurities on Viability, ATP Level and Morphological changes in Human Peripheral Blood Mononuclear Cells."
